Year,State,type,production,Avg,Measures,Materials,Chemical,Value
2019,CALIFORNIA,TAME,ACRES HARVESTED, ,, ,TOTAL,"7,300"
2019,CALIFORNIA,TAME,PRODUCTION, ,MEASURED IN LB, ,TOTAL,"73,700,000"
2019,CALIFORNIA,TAME,YIELD, ,MEASURED IN LB / ACRE, ,TOTAL,"10,100"
2019,CALIFORNIA,TAME,FRESH MARKET - PRODUCTION, ,MEASURED IN $, ,TOTAL,"199,930,000"
2019,CALIFORNIA,TAME,FRESH MARKET - PRODUCTION, ,MEASURED IN LB, ,TOTAL,"56,160,000"
2019,CALIFORNIA,TAME,NOT SOLD - PRODUCTION, ,MEASURED IN LB, ,TOTAL,"1,920,000"
2019,CALIFORNIA,TAME,PROCESSING - PRODUCTION, ,MEASURED IN $, ,TOTAL,"4,530,000"
2019,CALIFORNIA,TAME,PROCESSING - PRODUCTION, ,MEASURED IN LB, ,TOTAL,"15,620,000"
2019,CALIFORNIA,TAME,UTILIZED - PRODUCTION, ,MEASURED IN $, ,TOTAL,"204,460,000"
2019,CALIFORNIA,TAME,UTILIZED - PRODUCTION, ,MEASURED IN LB, ,TOTAL,"71,780,000"
2019,FLORIDA,TAME,ACRES HARVESTED, ,, ,TOTAL,"5,100"
2019,FLORIDA,TAME,PRODUCTION, ,MEASURED IN LB, ,TOTAL,"24,200,000"
2019,FLORIDA,TAME,YIELD, ,MEASURED IN LB / ACRE, ,TOTAL,"4,740"
2019,FLORIDA,TAME,FRESH MARKET - PRODUCTION, ,MEASURED IN $, ,TOTAL,(D)
2019,FLORIDA,TAME,FRESH MARKET - PRODUCTION, ,MEASURED IN LB, ,TOTAL,(D)
2019,FLORIDA,TAME,NOT SOLD - PRODUCTION, ,MEASURED IN LB, ,TOTAL,"580,000"
2019,FLORIDA,TAME,PROCESSING - PRODUCTION, ,MEASURED IN $, ,TOTAL,(D)
2019,FLORIDA,TAME,PROCESSING - PRODUCTION, ,MEASURED IN LB, ,TOTAL,(D)
2019,FLORIDA,TAME,UTILIZED - PRODUCTION, ,MEASURED IN $, ,TOTAL,"62,309,000"
2019,FLORIDA,TAME,UTILIZED - PRODUCTION, ,MEASURED IN LB, ,TOTAL,"23,620,000"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(AZOXYSTROBIN = 128810),FUNGICIDE,"1,800"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482),FUNGICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BACILLUS SUBTILIS = 6479),FUNGICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BORAX DECAHYDRATE = 11102),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BOSCALID = 128008),FUNGICIDE,"2,300"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CALCIUM POLYSULFIDE = 76702),FUNGICIDE,"20,200"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CAPTAN = 81301),FUNGICIDE,"44,000"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CHLOROTHALONIL = 81901),FUNGICIDE,"3,900"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(COPPER CHLORIDE HYD. = 23501),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(COPPER HYDROXIDE = 23401),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(COPPER SULFATE = 24401),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CYPRODINIL = 288202),FUNGICIDE,"1,900"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(DIFENOCONAZOLE = 128847),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FENBUCONAZOLE = 129011),FUNGICIDE,500
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FENHEXAMID = 90209),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FLUDIOXONIL = 71503),FUNGICIDE,"1,300"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(MEFENOXAM = 113502),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(METCONAZOLE = 125619),FUNGICIDE,400
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(MONO-POTASSIUM SALT = 76416),FUNGICIDE,"9,300"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(MYCLOBUTANIL = 128857),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(POLYOXIN D ZINC SALT = 230000),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PROPICONAZOLE = 122101),FUNGICIDE,"1,000"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PROTHIOCONAZOLE = 113961),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PYRACLOSTROBIN = 99100),FUNGICIDE,"1,200"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(SULFUR = 77501),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(TEBUCONAZOLE = 128997),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(TOTAL),FUNGICIDE,"91,400"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(TRICHODERMA HARZ. = 119202),FUNGICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,"(2,4-D",HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(AMMONIUM PELARGONATE = 31802),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CLETHODIM = 121011),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CLORANSULAM-METHYL = 129116),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(DIURON = 35505),HERBICIDE,"1,700"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FLUMIOXAZIN = 129034),HERBICIDE,700
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(GLUFOSINATE-AMMONIUM = 128850),HERBICIDE,"5,400"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(GLYPHOSATE = 417300),HERBICIDE,(D)
