Year,State,type,production,Avg,Measures,Materials,Chemicals,Value
2019,CALIFORNIA,,ACRES HARVESTED,,,NOT SPECIFIED,TOTAL,"35,400"
2019,CALIFORNIA,,ACRES PLANTED,,,NOT SPECIFIED,TOTAL,"36,000"
2019,CALIFORNIA,,PRODUCTION,,MEASURED IN $,NOT SPECIFIED,TOTAL,"2,221,320,000"
2019,CALIFORNIA,,PRODUCTION,,MEASURED IN CWT,NOT SPECIFIED,TOTAL,"20,500,000"
2019,CALIFORNIA,,YIELD,,MEASURED IN CWT / ACRE,NOT SPECIFIED,TOTAL,580
2019,CALIFORNIA,,FRESH MARKET - PRODUCTION,,MEASURED IN $,NOT SPECIFIED,TOTAL,(D)
2019,CALIFORNIA,,FRESH MARKET - UTILIZED - PRODUCTION,,MEASURED IN CWT,NOT SPECIFIED,TOTAL,(D)
2019,CALIFORNIA,,PROCESSING - UTILIZED - PRODUCTION,,MEASURED IN CWT,NOT SPECIFIED,TOTAL,(D)
2019,CALIFORNIA,,NOT SOLD - PRODUCTION,,MEASURED IN CWT,NOT SPECIFIED,TOTAL,"20,000"
2019,CALIFORNIA,,PROCESSING - PRODUCTION,,MEASURED IN $,NOT SPECIFIED,TOTAL,(D)
2019,CALIFORNIA,,UTILIZED - PRODUCTION,,MEASURED IN CWT,NOT SPECIFIED,TOTAL,"20,480,000"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(AZOXYSTROBIN = 128810),FUNGICIDE,"5,500"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BACILLUS PUMILUS = 6485),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BACILLUS SUBT. GB03 = 129068),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BACILLUS SUBTILIS = 6479),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BLAD = 30006),FUNGICIDE,"1,200"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BORAX DECAHYDRATE = 11102),FUNGICIDE,300
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BOSCALID = 128008),FUNGICIDE,"6,200"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BT SUBSP KURSTAKI EVB-113-19 = 6544),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CAPTAN = 81301),FUNGICIDE,"283,500"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(COPPER HYDROXIDE = 23401),FUNGICIDE,(D)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(COPPER OCTANOATE = 23306),FUNGICIDE,(D)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CYFLUFENAMID = 555550),FUNGICIDE,400
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CYPRODINIL = 288202),FUNGICIDE,"16,600"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(DIFENOCONAZOLE = 128847),FUNGICIDE,900
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FENHEXAMID = 90209),FUNGICIDE,"15,000"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FLUDIOXONIL = 71503),FUNGICIDE,"11,100"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FLUOPYRAM = 80302),FUNGICIDE,"3,900"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FLUXAPYROXAD = 138009),FUNGICIDE,"3,900"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FOSETYL-AL = 123301),FUNGICIDE,"34,200"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(ISOFETAMID = 270000),FUNGICIDE,(D)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(MEFENOXAM = 113502),FUNGICIDE,"9,300"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(MONO-POTASSIUM SALT = 76416),FUNGICIDE,(D)
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(MYCLOBUTANIL = 128857),FUNGICIDE,"5,600"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PENTHIOPYRAD = 90112),FUNGICIDE,"7,000"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(POLYOXIN D ZINC SALT = 230000),FUNGICIDE,"1,400"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(POTASSIUM BICARBON. = 73508),FUNGICIDE,"11,300"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PROPICONAZOLE = 122101),FUNGICIDE,"1,600"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PYRACLOSTROBIN = 99100),FUNGICIDE,"7,400"
2019,CALIFORNIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PYRIMETHANIL = 288201),FUNGICIDE,"9,300"
